idConVat,trangThai,ODBA,tyLeNangLuong,t1,t2,doTreModule2
006-KhiDuoiLon-CT,BINH_THUONG,0.3600,0.23,1781842669000,1781853045411,10376411
005-SonDuong-CT,BINH_THUONG,0.3600,0.23,1781842670000,1781853045411,10375411
001-LonRung-DL,BINH_THUONG,0.3600,0.46,1781842671000,1781853045412,10374412
004-BoTot-CT,BINH_THUONG,0.3600,0.46,1781842672000,1781853045412,10373412
001-LonRung-DN,BINH_THUONG,0.3600,0.69,1781842673000,1781853045412,10372412
001-LonRung-BD,BINH_THUONG,0.3600,0.69,1781842674000,1781853045412,10371412
003-NaiRung-CT,BINH_THUONG,0.3600,0.46,1781842675000,1781853045412,10370412
001-LonRung-BD,BINH_THUONG,0.3600,0.92,1781842676000,1781853045413,10369413
008-CheoCheo-DN,BINH_THUONG,0.2400,0.46,1781842677000,1781853045413,10368413
005-SonDuong-DL,BINH_THUONG,0.3600,0.46,1781842678000,1781853045413,10367413
002-HuouVang-BD,BINH_THUONG,0.3600,0.23,1781842679000,1781853045413,10366413
004-BoTot-DN,BINH_THUONG,0.3600,0.46,1781842680000,1781853045414,10365414
002-HuouVang-BD,BINH_THUONG,0.3600,0.46,1781842681000,1781853045414,10364414
002-HuouVang-CT,BINH_THUONG,0.2400,0.46,1781842682000,1781853045414,10363414
003-NaiRung-DL,BINH_THUONG,0.3600,0.46,1781842683000,1781853045414,10362414
001-LonRung-CT,BINH_THUONG,0.3600,0.92,1781842684000,1781853045414,10361414
008-CheoCheo-DN,BINH_THUONG,0.2700,0.69,1781842685000,1781853045414,10360414
007-MangLon-CT,BINH_THUONG,0.1800,0.23,1781842686000,1781853045415,10359415
003-NaiRung-BD,BINH_THUONG,0.3600,0.69,1781842687000,1781853045415,10358415
005-SonDuong-CT,BINH_THUONG,0.3600,0.46,1781842688000,1781853045415,10357415
002-HuouVang-CT,BINH_THUONG,0.2700,0.69,1781842689000,1781853045415,10356415
001-LonRung-DL,BINH_THUONG,0.2400,0.46,1781842690000,1781853045415,10355415
004-BoTot-CT,BINH_THUONG,0.3600,0.69,1781842691000,1781853045415,10354415
001-LonRung-DL,BINH_THUONG,0.2700,0.69,1781842692000,1781853045416,10353416
001-LonRung-CT,BINH_THUONG,0.3600,1.15,1781842693000,1781853045416,10352416
006-KhiDuoiLon-CT,BINH_THUONG,0.3600,0.46,1781842694000,1781853045416,10351416
003-NaiRung-CT,BINH_THUONG,0.3600,0.69,1781842695000,1781853045416,10350416
005-SonDuong-DL,BINH_THUONG,0.2400,0.46,1781842696000,1781853045416,10349416
002-HuouVang-DN,BINH_THUONG,0.1800,0.23,1781842697000,1781853045416,10348416
002-HuouVang-BD,BINH_THUONG,0.3600,0.69,1781842698000,1781853045416,10347416
004-BoTot-DN,BINH_THUONG,0.2400,0.46,1781842699000,1781853045416,10346416
001-LonRung-DN,BINH_THUONG,0.3600,0.92,1781842700000,1781853045416,10345416
001-LonRung-CT,BINH_THUONG,0.3000,1.15,1781842701000,1781853045417,10344417
008-CheoCheo-DN,BINH_THUONG,0.2160,0.69,1781842702000,1781853045417,10343417
003-NaiRung-DL,BINH_THUONG,0.3600,0.69,1781842703000,1781853045417,10342417
007-MangLon-CT,BINH_THUONG,0.2400,0.46,1781842704000,1781853045417,10341417
003-NaiRung-BD,BINH_THUONG,0.2700,0.69,1781842705000,1781853045418,10340418
003-NaiRung-CT,BINH_THUONG,0.3600,0.92,1781842706000,1781853045418,10339418
005-SonDuong-CT,BINH_THUONG,0.2400,0.46,1781842707000,1781853045418,10338418
002-HuouVang-BD,BINH_THUONG,0.2700,0.69,1781842708000,1781853045418,10337418
001-LonRung-DN,BINH_THUONG,0.2880,0.92,1781842709000,1781853045418,10336418
008-CheoCheo-DN,BINH_THUONG,0.1800,0.69,1781842710000,1781853045419,10335419
004-BoTot-CT,BINH_THUONG,0.2700,0.69,1781842711000,1781853045419,10334419
006-KhiDuoiLon-BD,BINH_THUONG,0.1800,0.23,1781842712000,1781853045419,10333419
003-NaiRung-CT,BINH_THUONG,0.2880,0.92,1781842713000,1781853045419,10332419
002-HuouVang-DN,BINH_THUONG,0.1200,0.23,1781842714000,1781853045420,10331420
005-SonDuong-DL,BINH_THUONG,0.1800,0.46,1781842715000,1781853045420,10330420
002-HuouVang-CT,BINH_THUONG,0.2160,0.69,1781842716000,1781853045420,10329420
001-LonRung-BD,BINH_THUONG,0.2880,0.92,1781842717000,1781853045420,10328420
001-LonRung-CT,BINH_THUONG,0.2571,1.15,1781842718000,1781853045420,10327420
004-BoTot-DN,BINH_THUONG,0.1800,0.46,1781842719000,1781853045420,10326420
008-CheoCheo-DN,BINH_THUONG,0.1543,0.69,1781842720000,1781853045421,10325421
003-NaiRung-DL,BINH_THUONG,0.2700,0.69,1781842721000,1781853045421,10324421
003-NaiRung-BD,BINH_THUONG,0.2160,0.69,1781842722000,1781853045421,10323421
007-MangLon-CT,BINH_THUONG,0.1800,0.46,1781842723000,1781853045421,10322421
002-HuouVang-DN,BINH_THUONG,0.0900,0.23,1781842724000,1781853045421,10321421
002-HuouVang-BD,BINH_THUONG,0.2160,0.69,1781842725000,1781853045423,10320423
001-LonRung-CT,BINH_THUONG,0.2250,1.15,1781842726000,1781853045423,10319423
005-SonDuong-CT,BINH_THUONG,0.1800,0.46,1781842727000,1781853045423,10318423
008-CheoCheo-DN,BINH_THUONG,0.1350,0.69,1781842728000,1781853045423,10317423
