========================================
        KET QUA PHAN TICH HANH VI
========================================
KetQuaHanhVi[ID=001-LonRung-DN, Trạng thái=BINH_THUONG, ODBA=0.3600, Năng lượng=0.23%, Trễ=10398383 ms]
KetQuaHanhVi[ID=004-BoTot-CT, Trạng thái=BINH_THUONG, ODBA=0.2700, Năng lượng=0.69%, Trễ=10334419 ms]
KetQuaHanhVi[ID=006-KhiDuoiLon-BD, Trạng thái=BINH_THUONG, ODBA=0.1800, Năng lượng=0.23%, Trễ=10333419 ms]
KetQuaHanhVi[ID=003-NaiRung-CT, Trạng thái=BINH_THUONG, ODBA=0.2880, Năng lượng=0.92%, Trễ=10332419 ms]
KetQuaHanhVi[ID=002-HuouVang-DN, Trạng thái=BINH_THUONG, ODBA=0.1200, Năng lượng=0.23%, Trễ=10331420 ms]
KetQuaHanhVi[ID=005-SonDuong-DL, Trạng thái=BINH_THUONG, ODBA=0.1800, Năng lượng=0.46%, Trễ=10330420 ms]
KetQuaHanhVi[ID=002-HuouVang-CT, Trạng thái=BINH_THUONG, ODBA=0.2160, Năng lượng=0.69%, Trễ=10329420 ms]
KetQuaHanhVi[ID=001-LonRung-BD, Trạng thái=BINH_THUONG, ODBA=0.2880, Năng lượng=0.92%, Trễ=10328420 ms]
KetQuaHanhVi[ID=001-LonRung-CT, Trạng thái=BINH_THUONG, ODBA=0.2571, Năng lượng=1.15%, Trễ=10327420 ms]
KetQuaHanhVi[ID=004-BoTot-DN, Trạng thái=BINH_THUONG, ODBA=0.1800, Năng lượng=0.46%, Trễ=10326420 ms]
KetQuaHanhVi[ID=008-CheoCheo-DN, Trạng thái=BINH_THUONG, ODBA=0.1543, Năng lượng=0.69%, Trễ=10325421 ms]
KetQuaHanhVi[ID=003-NaiRung-DL, Trạng thái=BINH_THUONG, ODBA=0.2700, Năng lượng=0.69%, Trễ=10324421 ms]
KetQuaHanhVi[ID=003-NaiRung-BD, Trạng thái=BINH_THUONG, ODBA=0.2160, Năng lượng=0.69%, Trễ=10323421 ms]
KetQuaHanhVi[ID=007-MangLon-CT, Trạng thái=BINH_THUONG, ODBA=0.1800, Năng lượng=0.46%, Trễ=10322421 ms]
KetQuaHanhVi[ID=002-HuouVang-DN, Trạng thái=BINH_THUONG, ODBA=0.0900, Năng lượng=0.23%, Trễ=10321421 ms]
KetQuaHanhVi[ID=002-HuouVang-BD, Trạng thái=BINH_THUONG, ODBA=0.2160, Năng lượng=0.69%, Trễ=10320423 ms]
KetQuaHanhVi[ID=001-LonRung-CT, Trạng thái=BINH_THUONG, ODBA=0.2250, Năng lượng=1.15%, Trễ=10319423 ms]
KetQuaHanhVi[ID=005-SonDuong-CT, Trạng thái=BINH_THUONG, ODBA=0.1800, Năng lượng=0.46%, Trễ=10318423 ms]
KetQuaHanhVi[ID=008-CheoCheo-DN, Trạng thái=BINH_THUONG, ODBA=0.1350, Năng lượng=0.69%, Trễ=10317423 ms]
