maSoDongVat,mucDoNghiemTrong,viDo,kinhDo,thoiGianSuKien,thoiGianGhiNhan,lyDo
001-LonRung-BD,CANH_BAO,11.435956,107.442500,2026-06-13 19:40:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
001-LonRung-BD,CANH_BAO,11.422463,107.428921,2026-06-13 19:40:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
001-LonRung-BD,CANH_BAO,11.447600,107.457114,2026-06-13 19:40:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
001-LonRung-DN,CANH_BAO,11.445809,107.449898,2026-06-13 18:20:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
001-LonRung-DN,CANH_BAO,11.430406,107.437700,2026-06-13 18:20:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
001-LonRung-DN,CANH_BAO,11.435836,107.442243,2026-06-13 18:20:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
001-LonRung-DN,CANH_BAO,11.422179,107.428719,2026-06-13 18:20:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
001-LonRung-DN,CANH_BAO,11.447766,107.456910,2026-06-13 18:20:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
001-LonRung-DL,CANH_BAO,11.445562,107.450011,2026-06-13 12:00:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
001-LonRung-DL,CANH_BAO,11.430636,107.437543,2026-06-13 12:00:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
001-LonRung-DL,CANH_BAO,11.436212,107.443111,2026-06-13 12:00:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
001-LonRung-DL,CANH_BAO,11.422935,107.429299,2026-06-13 12:00:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
002-HuouVang-CT,CANH_BAO,11.440000,107.446240,2026-06-13 10:40:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
002-HuouVang-CT,CANH_BAO,11.446300,107.449574,2026-06-13 10:40:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
002-HuouVang-CT,CANH_BAO,11.429962,107.438111,2026-06-13 10:40:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
002-HuouVang-CT,CANH_BAO,11.436070,107.442794,2026-06-13 10:40:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
002-HuouVang-CT,CANH_BAO,11.422715,107.429102,2026-06-13 10:40:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
002-HuouVang-BD,CANH_BAO,11.447396,107.457324,2026-06-13 13:20:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
002-HuouVang-BD,CANH_BAO,11.446066,107.449750,2026-06-13 13:20:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
002-HuouVang-BD,CANH_BAO,11.430170,107.437894,2026-06-13 13:20:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
002-HuouVang-BD,CANH_BAO,11.436389,107.443418,2026-06-13 13:20:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
002-HuouVang-BD,CANH_BAO,11.423149,107.429533,2026-06-13 13:20:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
002-HuouVang-DN,KHAN_CAP,11.439874,107.446042,2026-06-13 19:10:00,2026-06-16 02:49:38,"Vùng NGUY_CAP – con vật ở khu dân cư, gửi thẳng Module 5"
002-HuouVang-DN,CANH_BAO,11.446496,107.449404,2026-06-13 19:10:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
002-HuouVang-DN,CANH_BAO,11.429789,107.438318,2026-06-13 19:10:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
002-HuouVang-DN,CANH_BAO,11.436740,107.443934,2026-06-13 19:10:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
003-NaiRung-CT,CANH_BAO,11.423668,107.430037,2026-06-13 17:50:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
003-NaiRung-CT,KHAN_CAP,11.439526,107.445620,2026-06-13 17:50:00,2026-06-16 02:49:38,"Vùng NGUY_CAP – con vật ở khu dân cư, gửi thẳng Module 5"
003-NaiRung-CT,CANH_BAO,11.426714,107.432622,2026-06-13 17:50:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
003-NaiRung-CT,CANH_BAO,11.429440,107.438634,2026-06-13 17:50:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
003-NaiRung-CT,CANH_BAO,11.436576,107.443690,2026-06-13 17:50:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
003-NaiRung-BD,CANH_BAO,11.423391,107.429790,2026-06-13 20:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
003-NaiRung-BD,KHAN_CAP,11.439716,107.445823,2026-06-13 20:30:00,2026-06-16 02:49:38,"Vùng NGUY_CAP – con vật ở khu dân cư, gửi thẳng Module 5"
003-NaiRung-BD,CANH_BAO,11.426500,107.432840,2026-06-13 20:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
003-NaiRung-BD,CANH_BAO,11.429626,107.438490,2026-06-13 20:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
003-NaiRung-BD,CANH_BAO,11.436866,107.444184,2026-06-13 20:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
003-NaiRung-DL,CANH_BAO,11.423955,107.430249,2026-06-13 20:20:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
003-NaiRung-DL,KHAN_CAP,11.439330,107.445454,2026-06-13 20:20:00,2026-06-16 02:49:38,"Vùng NGUY_CAP – con vật ở khu dân cư, gửi thẳng Module 5"
003-NaiRung-DL,CANH_BAO,11.426896,107.432383,2026-06-13 20:20:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
003-NaiRung-DL,CANH_BAO,11.429216,107.438784,2026-06-13 20:20:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
004-BoTot-CT,CANH_BAO,11.453500,107.459740,2026-06-13 12:10:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
004-BoTot-CT,CANH_BAO,11.424219,107.430433,2026-06-13 12:10:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
004-BoTot-CT,KHAN_CAP,11.439162,107.445311,2026-06-13 12:10:00,2026-06-16 02:49:38,"Vùng NGUY_CAP – con vật ở khu dân cư, gửi thẳng Module 5"
004-BoTot-CT,CANH_BAO,11.427046,107.432160,2026-06-13 12:10:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
004-BoTot-DN,CANH_BAO,11.453654,107.459882,2026-06-13 13:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
004-BoTot-DN,CANH_BAO,11.424445,107.430623,2026-06-13 13:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
004-BoTot-DN,KHAN_CAP,11.439029,107.445158,2026-06-13 13:30:00,2026-06-16 02:49:38,"Vùng NGUY_CAP – con vật ở khu dân cư, gửi thẳng Module 5"
004-BoTot-DN,CANH_BAO,11.427190,107.431974,2026-06-13 13:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
005-SonDuong-CT,CANH_BAO,11.453776,107.460003,2026-06-13 14:50:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
005-SonDuong-CT,CANH_BAO,11.424657,107.430845,2026-06-13 14:50:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
005-SonDuong-CT,KHAN_CAP,11.438906,107.444970,2026-06-13 14:50:00,2026-06-16 02:49:38,"Vùng NGUY_CAP – con vật ở khu dân cư, gửi thẳng Module 5"
005-SonDuong-CT,CANH_BAO,11.427362,107.431811,2026-06-13 14:50:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
005-SonDuong-DL,CANH_BAO,11.453866,107.460140,2026-06-13 16:10:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
005-SonDuong-DL,CANH_BAO,11.449000,107.455240,2026-06-13 16:10:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
005-SonDuong-DL,KHAN_CAP,11.438760,107.444754,2026-06-13 16:10:00,2026-06-16 02:49:38,"Vùng NGUY_CAP – con vật ở khu dân cư, gửi thẳng Module 5"
005-SonDuong-DL,CANH_BAO,11.427569,107.431638,2026-06-13 16:10:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
006-KhiDuoiLon-CT,CANH_BAO,11.454062,107.460511,2026-06-13 11:40:00,2026-06-16 02:49:38,BINH_THUONG + CANH_BAO – con vật khỏe nhưng đang vào vùng nguy hiểm
006-KhiDuoiLon-CT,GIAM_SAT,11.448676,107.455663,2026-06-13 11:40:00,2026-06-16 02:49:38,BINH_THUONG + TIEN_CANH_BAO – theo dõi tiếp cận
006-KhiDuoiLon-BD,CANH_BAO,11.427980,107.431194,2026-06-13 18:50:00,2026-06-16 02:49:38,BINH_THUONG + CANH_BAO – con vật khỏe nhưng đang vào vùng nguy hiểm
007-MangLon-CT,CANH_BAO,11.453950,107.460314,2026-06-13 17:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
007-MangLon-CT,CANH_BAO,11.448854,107.455462,2026-06-13 17:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
007-MangLon-CT,KHAN_CAP,11.438576,107.444544,2026-06-13 17:30:00,2026-06-16 02:49:38,"Vùng NGUY_CAP – con vật ở khu dân cư, gửi thẳng Module 5"
007-MangLon-CT,CANH_BAO,11.427786,107.431430,2026-06-13 17:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
008-CheoCheo-DN,CANH_BAO,11.454209,107.460698,2026-06-13 21:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
008-CheoCheo-DN,CANH_BAO,11.454219,107.460708,2026-06-13 21:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
008-CheoCheo-DN,CANH_BAO,11.454229,107.460718,2026-06-13 21:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
008-CheoCheo-DN,CANH_BAO,11.454239,107.460728,2026-06-13 21:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
008-CheoCheo-DN,CANH_BAO,11.454249,107.460738,2026-06-13 21:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
008-CheoCheo-DN,CANH_BAO,11.454259,107.460748,2026-06-13 21:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
008-CheoCheo-DN,CANH_BAO,11.454269,107.460758,2026-06-13 21:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
008-CheoCheo-DN,CANH_BAO,11.454279,107.460768,2026-06-13 21:30:00,2026-06-16 02:49:38,Xác nhận cá thể có dấu hiệu SUY_KIET nghiêm trọng – gửi thẳng Module 5
